№ документа,"Дата
реєстрації",Адресати,Короткий зміст
2972/23/12,2025-12-01,Міністерство культури та стратегічних комунікацій,"На заміну свого листа від 13.11.2025 № 2878/23/12 Держкомтелерадіо надсилає доопрацьований проект постанови Кабінету Міністрів України «Про внесення змін до деяких постанов Кабінету Міністрів України та визнання такими, що втратили чинність, постанов Кабінету Міністрів України від 7 серпня 2013 р. № 524 та від 16 травня 2014 р. № 143»."
2973/34/11-2,2025-12-01,ТОВ «РОЗЕТКА. УА»,Пропонуємо видалити комерційні пропозиції з маркетплейсу та попередити продавця «RBP-Books» про неприпустимість провадження діяльності у видавничій справі з порушенням вимог українського законодавства
2974/24/06,2025-12-01,Державна служба України з питань праці,"Надання щотижневої інформації відповідно до постанови Кабінету Міністрів України від 16.09.2022 № 1037 «Деякі питання здійснення
спеціального моніторингу погашення підприємствами, установами і організаціями заборгованості із заробітної плати»"
2975/23/06,2025-12-01,Міністерство економічного розвитку і торгівлі України,"Надається щотижнева (станом на 01.12.2025) оперативна інформація про вжиті заходи щодо погашення заборгованості із заробітної плати по підприємствам, що входять до сфери управління Держкомтелерадіо,"
2976/24/06,2025-12-01,Державна служба України з питань праці,Щодо погашення заборгованості із заробітної плати.
2977/24/06,2025-12-02,Державна служба України з питань праці,"Інформація про роботу тимчасових комісій з питань погашення заборгованості із заробітної плати, утворених центральними та місцевими органами виконавчої влади/"
2978/24/06,2025-12-02,Державна служба України з питань праці,Щодо оперативного інформування про стан погашення заборгованості з виплати заробітної плати.
2979/23/06,2025-12-02,"Міністерство економіки, довкілля та сільського господарства України",Інформація щодо стану погашення заборгованості із виплати заробітної плати на підприємствах Держкомтелерадіо.
2980/23/06,2025-12-02,"Міністерство економіки, довкілля та сільського господарства України",Щодо повернення працівниками бюджетних установ неправомірно отриманої допомоги в рамках Програми «єПідтримка».
2981/23/06,2025-12-02,"Міністерство економіки, довкілля та сільського господарства України",Надається щомісячна інформація щодо стану погашення заборгованості із виплати заробітної плати на підприємствах сфери управління Держкомтелерадіо.
2982/27/11-2,2025-12-02,Кілійська міська рада Одеської обл.,Щодо надання оновленої інформації про адміністративні послуги Держкомтелерадіо.
2983/23/10,2025-12-02,"Міністерство економіки, довкілля та сільського господарства України","Про відсутність у сфері управління Держкомтелерадіо державного майна, яке може бути використане для проживання внутрішньо переміщених осіб та ветеранів війни."
2984/23/12,2025-12-02,Міністерство юстиції України,"Державний комітет телебачення і радіомовлення України подає для проведення перевірки додержання законодавства про державну реєстрацію нормативно-правових актів переліки актів, прийняті протягом листопада 2025 року."
2985/17/03-2,2025-12-02,"ТОВ ""Солар Медіа""; Міщенко О.Г.",Надсилається за належністю звернення гр.Міщенка О.Г.
2986/17/03-2,2025-12-02,"АТ ""Національна суспільна телерадіокомпанія України""; Цвігун О.П.",Надсилається за належністю звернення гр.Цвігуна О.П.
2987/23/05-2,2025-12-02,Міністерство закордонних справ,Щодо підтвердження кандидатури у складі Комітету з присудження Премії КМУ ім. М. Рильського
2988/23/05-2,2025-12-02,Міністерство культури та стратегічних комунікацій,Щодо кандидатури до складу Комітету з присудження Премії Кабінету Міністрів України імені Лесі Українки за літературно-мистецькі твори для дітей та юнацтва.
2989/23/05-2,2025-12-02,Міністерство освіти і науки України,Щодо підтвердження участі заступниці Міністра освіти і науки України у складі Комітету з присудження Премії Кабінету Міністрів України  імені Лесі Українки за літературно-мистецькі твори для дітей та юнацтва.
2990/23/05-2,2025-12-02,Міністерство культури та стратегічних комунікацій,Щодо оновлення персонального складу Комітету з присудження Премії КМУ ім. М. Рильського
2991/23/05-2,2025-12-02,"Громадська організація
«Академія наук вищої школи України»",Щодо підтвердження кандидатури у складі Комітету з присудження Премії КМУ ім. М. Рильського
2992/23/05-2,2025-12-02,Міністерство освіти і науки України,Щодо підтвердження кандидатури у складі Комітету з присудження Премії КМУ ім. М. Рильського
2993/23/12,2025-12-02,"Міністерство економіки, довкілля та сільського господарства України; Міністерство фінансів України; Міністерство юстиції України; Міністерство культури та стратегічних комунікацій; Міністерство цифрової трансформації України; Національне агентство з питань запобігання корупції; АТ ""Національна суспільна телерадіокомпанія України""",Запрошення на узгоджувальну нараду 04.12.2025 р. щодо проєкту постанови «Про внесення змін до постанови Кабінету Міністрів України від 28 грудня 2016 р. № 1039 та розпорядження Кабінету Міністрів України від 16 січня 2017 р. № 18»
2994/23/12,2025-12-02,"Міністерство економіки, довкілля та сільського господарства України; Міністерство культури України; Міністерство культури України","Надсилається на розгляд і погодження доопрацьований проект наказу Державного комітету телебачення і радіомовлення України «Про затвердження Правил видавничого оформлення, поліграфічного і технічного виконання неперіодичних видань (книжкові, електронні, нотні, аркушеві)»."
2995/29/03-1,2025-12-02,"АТ ""Національна суспільна телерадіокомпанія України""","З проханням надати до 10 січня 2026 року результати річного моніторингу проєкту, складені за формою згідно з додатком 3 зазначеного Порядку, завізовані відповідальною особою та підписані керівником, а також копії протоколів засідань наглядових рад та експертних груп, що утворюються для супроводження діяльності за проєктом, якщо це передбачено проєктам."
2996/23/13,2025-12-02,"Міністерство економіки, довкілля та сільського господарства України","Надається інформація про призначення на посади керівників підприємств, установ та організацій, що належать до сфери управління
Держкомтелерадіо"
2997/23/14,2025-12-02,Міністерство культури України,"Надається інформація за листопад 2025 року про видатки на оплату праці з нарахуваннями працівників державних органів, які не входять до сектору безпеки і оборони, за винятком осіб, які призвані на військову службу (мобілізовані) або проходять службу у складі Сил територіальної оборони Збройних Сил України."
2998/23/05-2,2025-12-02,Міністерство культури України,Про визначення відповідальних осіб  щодо роботи з «Реєстром заявок та отримувачів державної підтримки у сфері культури».
2999/29/03-1,2025-12-02,"АТ ""Національна суспільна телерадіокомпанія України""",Погоджується ТЕХНІЧНЕ ЗАВДАННЯ на відрядження працівниці АТ «НСТУ» до м. Брюсселя (Бельгія) та м. Парижа (Франція) у період з 12 по 24 грудня 2025 року з метою висвітлення діяльності європейських інституцій в умовах євроінтеграційного курсу України та перебігу засідання «коаліції охочих».
3000/23/13,2025-12-02,Міністерство оборони України,"Відомість контролю щодо звіряння облікових даних військовозобов’язаних, оповіщення і прибуття військовозобов’язаних до відповідних територіальних центрів комплектування та соціальної підтримки апарату Держкомтелерадіо, підприємств, установ та товариств сфери управління."
3001/24/14,2025-12-03,Головне управління Державної казначейської служби України у м. Києві,"Звіт про заборгованість за бюджетними коштами (форма №7д, №7м) станом на 01 грудня 2025 року."
3002/23/03-2,2025-12-03,Міністерство у справах ветеранів України,Щодо виконання пункту 2 розпорядження Кабінету Міністрів України від 20 січня 2021 року № 37-р “Про заходи з увічнення пам’яті захисників України на період до 2025 року”.
3003/22/10,2025-12-03,Кабінет Міністрів України,Про надання інформації стосовно питання комплексного аналізу діяльності деяких акціонерних товариств.
3004/24/03-1,2025-12-03,Національна соціальна сервісна служба України,"Щодо погодження проєкту інформаційної пам’ятки з метою підвищення рівня розуміння суспільством гендерної рівності, розвінчування усталених стереотипних уявлень про соціальні ролі жінок та чоловіків, розширення економічних прав та можливостей жінок."
3005/25/10,2025-12-03,Офіс Генерального прокурора,Щодо надання відомостей про спричинену шкоду внаслідок збройної агресії російської федерації.
3006/18/03-1,2025-12-03,International Media Support (IMS),"Лист до IMS щодо надання результатів річного моніторингу за 2025 рік проєкту МТД ""REACH-партнерство медіа для відповідальності та довіри""."
3007/32/05-1,2025-12-03,Членам Науково-технічної ради Державного комітету телебачення і радіомовлення України,Лист-запрошення на засідання науково-технічної ради 10.12.2025.
3008/23/13,2025-12-03,Міністерство культури України,Щодо погодження надбавки за інтенсивність праці Наливайку О.І.
3009/31/06,2025-12-03,"Державна наукова установа ""Енциклопедичне видавництво""",Щодо ФЕР до проекту Указу Президента України «Про внесення змін до Указу Президента України від 2 січня 2013 року № 1/2013 «Про Велику українську енциклопедію».
3010/29/05-1,2025-12-03,"АТ ""Національна суспільна телерадіокомпанія України""","Прохання надати інформацію разом з пропозиціями  щодо удосконалення роботи, пов'язаної з формуванням та реалізацією державної мовної політики, зокрема в частині діяльності АТ ""НСТУ""."
3011/31/05-1,2025-12-03,"ДНУ ""Книжкова палата України імені Івана Федорова""","Прохання надати необхідні матеріали для вивчення питання реорганізації ДНУ ""Книжкова палата України імені Івана Федорова"" шляхом перетворення у державну установу."
3012/29/10,2025-12-03,"АТ ""Національна суспільна телерадіокомпанія України""",Направляється наказ Держкомтелерадіо від 03.12.2025 № 120 «Про внесення змін у додаток до наказу Держкомтелерадіо від 09.12.2024 № 333» 
3013/23/10,2025-12-03,Міністерство культури України,Щодо подання інформації про кандидатуру представника від Міністерства культури України для включення до складу комісії з питань передачі підприємств.
3014/32/10,2025-12-03,"УНІА ""Укрінформ""; ДП ""Мультимедійна платформа іномовлення""; ДУ «Центр стратегічних комунікацій та інформаційної безпеки»; Міністерство культури України","Щодо виконання розпорядження Кабінету Міністрів України від 19.11.2025 № 1509 «Деякі питання діяльності центральних органів виконавчої влади» в частині оформлення передачі із сфери управління Міністерства культури до сфери управління Державного комітету телебачення і радіомовлення цілісних майнових комплексів державного підприємства та установ, включених до цього розпорядження, інформацію надати у п""ятиденний строк."
3015/17/03-2,2025-12-04,Мшанецький А.Б.; Концерн РРТ,Надсилається за належністю звернення гр.Мшанецького А.Б.
3016/23/03,2025-12-04,Міністерство культури України,"З пропозицією розглянути можливість зняття з контролю виконання завдань, визначених пунктом 26 резолюції Прем’єр-міністра України від 23 вересня 2025 р. № 31063/0/1-25 За результатами робочої поїздки Прем’єр-міністра України до Сумської області 17
вересня 2025 року."
3017/35/05-2,2025-12-04,Члени Комітету з присудження Преміїї КМУ ім. Максима Рильського,"Про ознайомлення з роботами, поданими на здобуття Премії КМУ ім. М. Рильського."
3018/35/05-2,2025-12-04,Члени Комітету з присудження Премії КМУ ім. Лесі Українки за літературно-мистецькі твори для дітей та юнацтва,"Щодо ознайомлення з творчими роботами, номінованими на здобуття Премії КМУ імені Л. Українки за літературно-мистецькі твори для дітей та юнацтва."
3019/23/06-1,2025-12-04,Міністерство культури України,Щодо погодження преміювання Голови Держкомтелерадіо за листопад 2025 року.
3020/31/06,2025-12-04,"Національне видавництво дитячої літератури ""Веселка""","Прохання терміново подати Держкомтелерадіо звіти про виконання фінансових планів за ІІ та ІІІ квартали 2025 року зі всіма додатками в пакеті звітності державних підприємств, а також проєкти Листа очікувань власника на 2026 рік та фінансового плану підприємства на 2026 рік."
3021/23/12,2025-12-04,"Міністерство цифрової трансформації України; Міністерство фінансів України; Міністерство економіки, довкілля та сільського господарства України","Проект розпорядження Кабінету Міністрів України «Про перерозподіл деяких видатків державного бюджету, передбачених Міністерству культури та стратегічних комунікацій на 2025 рік»."
3022/24/06-2,2025-12-04,Управління Державної  казначейської служби України у Немишлянському районі м. Харкова,Звіт про заборгованість за бюджетними коштами (форма №7д) станом на 01 грудня 2025 року.
3023/24/06-2,2025-12-04,Управління Державної казначейської служби України у м. Херсон,Звіт про заборгованість за бюджетними коштами (форма №7д) станом на 01 грудня 2025 року
3024/24/06-2,2025-12-04,Управління державної  казначейської служби України у м. Луганську Луганської області,Звіт про заборгованість за бюджетними коштами (форма №7д) станом на 01 грудня 2025 року.
3025/17/03-2,2025-12-04,Чемерис С.Г.; Національна рада України з питань телебачення і радіомовлення,"Надсилається за належністю звернення гр. Чемериса С.Г.  з проханням заборони по телебаченню та в інших соціальних мережах обговорювати питання щодо відновлення енергетики в Україні, оскільки дану інформацію також бачать на території РФ."
3026/17/03-2,2025-12-04,"Штиб О.В.; АТ ""Національна суспільна телерадіокомпанія України""","Надсилається за належністю звернення гр. Штиба О.В. з проханням відновити сигнал ""Українське радіо"" на частоті 97,5 FM"
3027/17/03-2,2025-12-04,"Копиленко О.Б.; АТ ""Національна суспільна телерадіокомпанія України""","Надсилається за належністю звернення гр. Копиленка О.Б. з питання надання недостовірної інформації ведучею ""Новини""суспільного радіо Зеленецькою."
3028/29/06,2025-12-04,"АТ ""Національна суспільна телерадіокомпанія України""",Щодо подання деталізованої інформації до листа очікувань власника на 2026 рік.
3029/24/14,2025-12-04,Головне управління Державної казначейської служби України у м. Києві,"Надсилається акт приймання-передачі наданих послуг АТ ""Укрпошта"" за 11.2025 р."
3030/23/06-1,2025-12-04,Міністерство культури України,Прохання відкрити фінансування Держкомтелерадіо на грудень за загальним фондом.
3031/31/06,2025-12-04,"ДНУ ""Книжкова палата України імені Івана Федорова""; Український інститут підвищення кваліфікації працівників телебачення, радіомовлення і преси",Про завершення бюджетного року  в частині внесення змін до спеціального фонду кошторису.
3032/17/03-2,2025-12-04,Дурач Г.Б.; Національна рада України з питань телебачення і радіомовлення,"Надсилається за належністю звернення гр. Дурач Г.Б. з проханням відкрити канал ""TV RUS""."
3033/32/13,2025-12-05,Державне управління справами,"Щодо  надання списків співробітників, які мають право на медичне обслуговування в закладах охорони здоров’я Державного управління справами"
3034/24/12,2025-12-05,Державна служба України з етнополітики та свободи совісті	,"На додаток до листа від 03.11.2025 № 2763/24/12 надсилається позицію Мінкульту щодо проєкту розпорядження Кабінету Міністрів України «Про затвердження плану заходів на 2026 – 2028 роки з реалізації Стратегії сприяння реалізації прав і можливостей осіб, які належать до ромської національної меншини, в українському суспільстві на період до 2030 року та внесення зміни до розпорядження Кабінету Міністрів України від 28 липня 2021 р. № 866-р»."
3035/23/06,2025-12-05,Міністерство культури України,Пропозиції до помісячного розподілу видатків державного бюджету на 2026 рік за бюджетними програмами Держкомтелерадіо.
3036/23/05-1,2025-12-05,Міністерство культури та стратегічних комунікацій,Щодо створення репозитарію цифрової бібліотеки на базі електронних аналогів (версток) друкованих та мережевих періодичних видань (газет).
3037/17/03-2,2025-12-05,"Красюк Є.М.; ТОВ ""Воля-Кабель""","Надсилається за належністю звернення гр. Красюк Є.М., у якому заявниця скаржиться на відсутність кабельного телебачення від ""Волі"" з листопада 2025 р."
3038/22/01,2025-12-05,"Кабінет Міністрів України; Державна служба спеціального зв""язку та захисту інформації України","Щодо плану організації виконання рішення Ради національної безпеки і оброни України від 17 жовтня 2023 р. “Про організацію захисту та забезпечення безпеки функціонуванням об’єктів критичної інфраструктури та енергетики України в умовах ведення воєнних дій”, введеного в дію Указом Президента України від 17 жовтня 2023 р. № 695."
3039/32/04,2025-12-05,Технічний комітет стандартизації,"Повідомляється, що представник Держкомтелерадіо не братиме участь у голосуванні стосовно висновків перевірки національних нормативних документів, розроблених ТК 144 «Інформація і документація»."
3040/23/12,2025-12-08,Міністерство культури України,"Підтримується і пропонується подати на підпис Президентові України Закон України ""Про внесення змін до деяких законів України з оновленням офіційного перекладу Європейської хартії регіональних або монітарних мов"""
